animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-measurements,deploy-on-timestamp,deployment-comments,deployment-end-type,manipulation-type,study-site,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
L930088,,K.MOM,m,Larus fuscus,LBBG_JUVENILE,juvenile,805,harness,2020-08-03T00:00:00Z,,2020-07-10T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,200555,Ornitela,15,200555
L930105,,KPO.S,f,Larus fuscus,LBBG_JUVENILE,juvenile,711,harness,2021-05-28T00:00:00Z,,2020-07-10T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,200556,Ornitela,15,200556
L930127,,KF.OU,m,Larus fuscus,LBBG_JUVENILE,juvenile,704,harness,2020-08-17T00:00:00Z,,2020-07-06T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,200557,Ornitela,15,200557
L930112,,KR.OJ,f,Larus fuscus,LBBG_JUVENILE,juvenile,641,harness,2020-09-26T00:00:00Z,,2020-07-10T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,200558,Ornitela,15,200558
L930058,,KB.OF,m,Larus fuscus,LBBG_JUVENILE,juvenile,806,harness,2020-12-08T12:00:00Z,,2020-07-10T18:00:00Z,Caught by a falcon at Vitoria airport (ES) on 2020-12-08 and euthanised in rehab centre at 2021-01-11. Dead.,dead,none,ZEEB_BUS,phone network,GPS,200559,Ornitela,15,200559
L933053,,K.UOL,u,Larus fuscus,LBBG_JUVENILE,juvenile,761,harness,2021-08-30T00:00:00Z,,2021-08-17T18:00:00Z,"Tracker reused from L930058, found dead at Koekelare on 2021-09-13.",dead,none,RAVERSIJDE,phone network,GPS,200559,Ornitela,15,200559
L930107,,K.KOD,m,Larus fuscus,LBBG_JUVENILE,juvenile,735,harness,2020-09-20T00:00:00Z,,2020-07-10T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,200560,Ornitela,15,200560
L930162,,KTOJ,f,Larus fuscus,LBBG_JUVENILE,juvenile,666,harness,2020-07-23T00:00:00Z,,2020-07-10T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,200561,Ornitela,15,200561
L930146,,K.MON,f,Larus fuscus,LBBG_JUVENILE,juvenile,629,harness,2023-07-16T18:00:00Z,,2020-07-06T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,200562,Ornitela,15,200562
L930082,,KUO.N,m,Larus fuscus,LBBG_JUVENILE,juvenile,703,harness,2020-11-27T00:00:00Z,,2020-07-06T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,200563,Ornitela,15,200563
L930110,,KWO.N,m,Larus fuscus,LBBG_JUVENILE,juvenile,860,harness,2020-08-03T00:00:00Z,,2020-07-10T18:00:00Z,Tracker reused for L929469.,,none,ZEEB_BUS,phone network,GPS,200564,Ornitela,15,200564
L929469,,RT.OB,f,Larus fuscus,LBBG_JUVENILE,juvenile,523,harness,2021-08-26T00:00:00Z,,2021-08-08T18:00:00Z,Tracker reused from L930110. Tracker recovered.,,none,RAVERSIJDE,phone network,GPS,200564,Ornitela,15,200564
L930129,,KK.OB,f,Larus fuscus,LBBG_JUVENILE,juvenile,631,harness,2020-07-25T00:00:00Z,,2020-07-10T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,200565,Ornitela,15,200565
L930108,,KHO.K,f,Larus fuscus,LBBG_JUVENILE,juvenile,752,harness,2020-11-16T00:00:00Z,,2020-07-10T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,200566,Ornitela,15,200566
L930135,,K.ROP,f,Larus fuscus,LBBG_JUVENILE,juvenile,711,harness,2020-07-25T00:00:00Z,,2020-07-10T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,200567,Ornitela,15,200567
L930123,,K.VOP,f,Larus fuscus,LBBG_JUVENILE,juvenile,738,harness,2021-02-11T00:00:00Z,,2020-07-06T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,200568,Ornitela,15,200568
L930076,,K.AOL,m,Larus fuscus,LBBG_JUVENILE,juvenile,824,harness,2020-12-22T00:00:00Z,,2020-07-10T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,200569,Ornitela,15,200569
H911438,,MMOT,u,Larus argentatus,LBBG_JUVENILE,juvenile,883,harness,2021-10-12T00:00:00Z,,2021-08-08T18:00:00Z,Tracker reused from 6210255.,,none,RAVERSIJDE,phone network,GPS,201121,Ornitela,20,201121
L929921,,RTOH,f,Larus fuscus,LBBG_JUVENILE,juvenile,,harness,,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,210181,Ornitela,15,210181
L929932,,RJOZ,f,Larus fuscus,LBBG_JUVENILE,juvenile,,harness,2021-12-08T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,210182,Ornitela,15,210182
L933024,,PPAW,u,Larus fuscus,LBBG_JUVENILE,juvenile,,harness,2021-11-29T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,210183,Ornitela,15,210183
L929471,,RJOV,f,Larus fuscus,LBBG_JUVENILE,juvenile,,harness,2022-03-01T00:00:00Z,,2021-08-08T18:00:00Z,"Bird found recently dead in Valencia, Spain.",dead,none,RAVERSIJDE,phone network,GPS,210184,Ornitela,15,210184
