animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-timestamp,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-firmware,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
5462689,,MAPN,m,Larus fuscus,LBBG_TEXEL,adult,870,harness,2013-06-11T23:59:00Z,53.00825,4.7184333,,2011-05-23T00:00:00Z,,236,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,541,UvA-BiTS,18.9,541
5462690,,FAPS,f,Larus fuscus,LBBG_TEXEL,adult,705,harness,2011-07-18T00:00:00Z,53.00925,4.7178333,,2011-05-23T00:00:00Z,,237,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,542,UvA-BiTS,18.9,542
5462687,,MAPL,m,Larus fuscus,LBBG_TEXEL,adult,950,harness,2011-07-27T00:00:00Z,53.0083333,4.7182167,,2011-05-23T00:00:00Z,,238,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,538,UvA-BiTS,18.8,538
5460158,,FABN,f,Larus fuscus,LBBG_TEXEL,adult,820,harness,2011-03-11T12:00:00Z,53.00855,4.716617,,2010-06-02T00:00:00Z,,239,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,373,UvA-BiTS,18.8,373
5416522,,FAPR,f,Larus fuscus,LBBG_TEXEL,adult,715,harness,2015-07-11T23:59:00Z,53.0085833,4.71695,,2011-05-21T00:00:00Z,,243,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,533,UvA-BiTS,18.9,533
5462684,,FAPP,f,Larus fuscus,LBBG_TEXEL,adult,680,harness,2017-06-06T23:59:00Z,53.0083,4.71815,,2011-05-21T00:00:00Z,,244,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,534,UvA-BiTS,18.9,534
5462686,,MAPK,m,Larus fuscus,LBBG_TEXEL,adult,925,harness,2011-07-10T00:00:00Z,53.0087,4.7166167,,2011-05-21T00:00:00Z,,246,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,536,UvA-BiTS,18.9,536
5460133,,MACV,m,Larus fuscus,LBBG_TEXEL,adult,1010,harness,2017-05-25T12:00:00Z,53.00845,4.7168167,,2011-05-23T00:00:00Z,,250,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,537,UvA-BiTS,18.9,537
5460532,,FARC,f,Larus fuscus,LBBG_TEXEL,adult,670,harness,2012-07-15T00:00:00Z,53.00923,4.71779,,2012-06-05T00:00:00Z,,319,provided by the GPS unit,none,,v1.0.4.0,other wireless,GPS,604,UvA-BiTS,18.9,604
5460534,,FARF,f,Larus fuscus,LBBG_TEXEL,adult,880,harness,2012-06-16T00:00:00Z,53.0084,4.7167833,,2012-06-05T00:00:00Z,,320,provided by the GPS unit,none,,v1.0.4.0,other wireless,GPS,784,UvA-BiTS,16.6,784
